Entity,Code,Year,Total number of international immigrants
Afghanistan,AFG,1990,57686
Afghanistan,AFG,1995,71522
Afghanistan,AFG,2000,75917
Afghanistan,AFG,2005,87314
Afghanistan,AFG,2010,102276
Afghanistan,AFG,2015,339432
Afghanistan,AFG,2020,144098
Africa,,1990,15689666
Africa,,1995,16357077
Africa,,2000,15051677
Africa,,2005,16040087
Africa,,2010,17806677
Africa,,2015,22860792
Africa,,2020,25389464
Albania,ALB,1990,66013
Albania,ALB,1995,71354
Albania,ALB,2000,76695
Albania,ALB,2005,64739
Albania,ALB,2010,52784
Albania,ALB,2015,52031
Albania,ALB,2020,48810
Algeria,DZA,1990,273954
Algeria,DZA,1995,262032
Algeria,DZA,2000,250110
Algeria,DZA,2005,197728
Algeria,DZA,2010,217268
Algeria,DZA,2015,239473
Algeria,DZA,2020,250378
American Samoa,ASM,1990,21283
American Samoa,ASM,1995,23098
American Samoa,ASM,2000,24912
American Samoa,ASM,2005,24233
American Samoa,ASM,2010,23555
American Samoa,ASM,2015,23513
American Samoa,ASM,2020,23608
Andorra,AND,1990,38891
Andorra,AND,1995,44206
Andorra,AND,2000,42147
Andorra,AND,2005,50298
Andorra,AND,2010,52053
Andorra,AND,2015,42264
Andorra,AND,2020,45574
Angola,AGO,1990,33517
Angola,AGO,1995,39813
Angola,AGO,2000,46108
Angola,AGO,2005,62331
Angola,AGO,2010,336367
Angola,AGO,2015,632178
Angola,AGO,2020,656434
Anguilla,AIA,1990,2570
Anguilla,AIA,1995,3317
Anguilla,AIA,2000,4063
Anguilla,AIA,2005,4684
Anguilla,AIA,2010,5103
Anguilla,AIA,2015,5471
Anguilla,AIA,2020,5715
Antigua and Barbuda,ATG,1990,12029
Antigua and Barbuda,ATG,1995,17550
Antigua and Barbuda,ATG,2000,23071
Antigua and Barbuda,ATG,2005,24741
Antigua and Barbuda,ATG,2010,26412
Antigua and Barbuda,ATG,2015,28082
Antigua and Barbuda,ATG,2020,29386
Argentina,ARG,1990,1649919
Argentina,ARG,1995,1595069
Argentina,ARG,2000,1540219
Argentina,ARG,2005,1674163
Argentina,ARG,2010,1805957
Argentina,ARG,2015,2086301
Argentina,ARG,2020,2281728
Armenia,ARM,1990,658789
Armenia,ARM,1995,693999
Armenia,ARM,2000,657900
Armenia,ARM,2005,469189
Armenia,ARM,2010,211147
Armenia,ARM,2015,191199
Armenia,ARM,2020,190349
Aruba,ABW,1990,14444
Aruba,ABW,1995,22274
Aruba,ABW,2000,30104
Aruba,ABW,2005,32540
Aruba,ABW,2010,34328
Aruba,ABW,2015,36114
Aruba,ABW,2020,53593
Asia,,1990,48209949
Asia,,1995,46418044
Asia,,2000,49066986
Asia,,2005,53249787
Asia,,2010,66123640
Asia,,2015,77191249
Asia,,2020,85618502
Australia,AUS,1990,3955213
Australia,AUS,1995,4153330
Australia,AUS,2000,4386250
Australia,AUS,2005,4878030
Australia,AUS,2010,5882980
Australia,AUS,2015,6729730
Australia,AUS,2020,7685860
Australia and New Zealand,,1990,4473260
Australia and New Zealand,,1995,4741947
Australia and New Zealand,,2000,5065063
