DATE,CLVMNACSCAB1GQPT
1995-01-01,33794.8
1995-04-01,34184.4
1995-07-01,34342.6
1995-10-01,34580.2
1996-01-01,34808.5
1996-04-01,35283.3
1996-07-01,35765.5
1996-10-01,35842.2
1997-01-01,36436.1
1997-04-01,36767.9
1997-07-01,37256.3
1997-10-01,37475.2
1998-01-01,38043.5
1998-04-01,38588.0
1998-07-01,39043.6
1998-10-01,39373.1
1999-01-01,39865.5
1999-04-01,40075.0
1999-07-01,40462.3
1999-10-01,40702.6
2000-01-01,41631.7
2000-04-01,41355.6
2000-07-01,42014.3
2000-10-01,42251.8
2001-01-01,42100.4
2001-04-01,42544.7
2001-07-01,42630.1
2001-10-01,43228.9
2002-01-01,43328.1
2002-04-01,43087.2
2002-07-01,42859.6
2002-10-01,42543.8
2003-01-01,42614.7
2003-04-01,42256.3
2003-07-01,42614.5
2003-10-01,42734.3
2004-01-01,43156.9
2004-04-01,43424.6
2004-07-01,43446.9
2004-10-01,43236.2
2005-01-01,43632.1
2005-04-01,43751.3
2005-07-01,43585.5
2005-10-01,43650.4
2006-01-01,44024.1
2006-04-01,44419.9
2006-07-01,44361.7
2006-10-01,44651.3
2007-01-01,45180.9
2007-04-01,45309.4
2007-07-01,45437.2
2007-10-01,45977.5
2008-01-01,45967.3
2008-04-01,45737.0
2008-07-01,45674.4
2008-10-01,45107.1
2009-01-01,43965.4
2009-04-01,44012.6
2009-07-01,44388.8
2009-10-01,44421.6
2010-01-01,44817.1
2010-04-01,44972.4
2010-07-01,45137.6
2010-10-01,44933.2
2011-01-01,44731.5
2011-04-01,44417.5
2011-07-01,44109.4
2011-10-01,43520.0
2012-01-01,43288.3
2012-04-01,42634.1
2012-07-01,42194.3
2012-10-01,41500.6
2013-01-01,41648.7
2013-04-01,42005.2
2013-07-01,41886.9
2013-10-01,42407.3
2014-01-01,42103.1
2014-04-01,42219.6
2014-07-01,42264.2
2014-10-01,42606.3
2015-01-01,42861.7
2015-04-01,42891.9
2015-07-01,42962.9
2015-10-01,43166.5
2016-01-01,43316.6
2016-04-01,43527.2
2016-07-01,44010.3
2016-10-01,44473.7
2017-01-01,44904.3
2017-04-01,45071.4
2017-07-01,45392.5
2017-10-01,45771.2
2018-01-01,46037.0
2018-04-01,46523.3
2018-07-01,46837.6
2018-10-01,47078.4
2019-01-01,47490.4
2019-04-01,47786.4
2019-07-01,47969.9
2019-10-01,48349.6
2020-01-01,46342.1
2020-04-01,39371.3
2020-07-01,45028.8
2020-10-01,45134.4
2021-01-01,43862.2
2021-04-01,45869.6
2021-07-01,47517.8
2021-10-01,48403.5
2022-01-01,49209.5
2022-04-01,49389.9
2022-07-01,49889.9
2022-10-01,50133.4
2023-01-01,50819.9
2023-04-01,50840.6
2023-07-01,50778.4
2023-10-01,51201.5
2024-01-01,51530.6
2024-04-01,51636.6
